model,engine,km,price,on_sale_since,greenlight,dealer_name,on_sale_since_v2,URL
Audi A3,1.4 Tfsi,51746.72,"€18,900",22 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-20,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-pack-auto-full-service/37016851
Audi A3,1.4 Tfsi,80008.34,"€22,900",27 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-auto-new-nct-full-service/36824065
Audi A3,1.4 Tfsi,40286.61,"€18,900",27 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-auto-new-nct-cruise-contro/36755404
Audi A3,1.4 Tfsi,96932.16,"€23,900",27 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-auto-s-line-heated-sea/36755403
Audi A3,1.4 Petrol,74642.0,"€18,495",27 day,no,Donal McArdle Car SalesIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/2016-audi-a3/36986894
Audi A3,1.4 Tfsi,67537.56,"€22,900",28 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-14,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-auto-half-leather-s-li/36973571
Audi A3,1.4 Saloon,19653.0,"€24,750",30 day,yes,Great Island MotorsIndependent Dealer,2024-05-12,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-saloon-petrol-automatic/36408099
Audi A3,1.4 Petrol,88792.0,"€17,750",40 day,no,Denis Darcy Cars Volkswagen SpecialistIndependent Dealer,2024-05-02,https://www.donedeal.ie/cars-for-sale/audi-a3-151-1-4tfsi-saloon-upgraded-18-alloys/36832941
Audi A3,1.4 Petrol,93124.0,"€23,950",40 day,no,Denis Darcy Cars Volkswagen SpecialistIndependent Dealer,2024-05-02,https://www.donedeal.ie/cars-for-sale/audi-a3-171-s-line-1-4tsi-virtual-dash-s-tronic/36740029
Audi A3,1.4 Tsi,23001.0,"€18,950",48 day,no,Ken Lawford Motors LimitedIndependent Dealer,2024-04-24,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tsi-auto-saloon/36825099
Audi A3,1.4 Tfsi,92000.0,"€21,750",53 day,no,Grange Road MotorsIndependent Dealer,2024-04-19,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-se-auto-saloon-leather-trim-sat/34986633
Audi A3,1.4 Petrol,48962.56,"€19,950",4 day,no,Kylemore CarsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-low-mileage-luxury-s-tronic-saloon-w-re/36685881?campaign=3
Audi A3,1.4 Petrol,83264.0,"€15,950",55 day,no,Ace AutosIndependent Dealer,2024-04-17,https://www.donedeal.ie/cars-for-sale/audi-a3-sport-1-4-petrol-auto-12m-warranty/36772576
Audi A3,1.4 Tfsi,58002.22,"€16,995",58 day,no,AutoxpressIndependent Dealer,2024-04-14,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36748032
Audi A3,1.4 Petrol,89000.0,"€16,450",66 day,yes,Grange Castle Motor CompanyIndependent Dealer,2024-04-06,https://www.donedeal.ie/cars-for-sale/audi-a3-2015-1-4-4dr-auto-low-kms/36688516
Audi A3,1.4 Tfsi,94001.55,"€16,995",76 day,no,AutoxpressIndependent Dealer,2024-03-27,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36611636
Audi A3,1.4 Tfsi,67001.65,"€18,495",98 day,no,AutoxpressIndependent Dealer,2024-03-05,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36446744
Audi A3,1.4 Tfsi,96001.96,"€16,995",101 day,no,AutoxpressIndependent Dealer,2024-03-02,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36424359
Audi A3,1.4 Tfsi,55000.8,"€17,250",101 day,no,AutoxpressIndependent Dealer,2024-03-02,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36424358
Audi A3,1.4 Tfsi,65001.24,"€16,995",103 day,no,AutoxpressIndependent Dealer,2024-02-29,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36408393
Audi A3,1.4 Petrol,58068.0,"€16,350",109 day,no,Mount Merrion CarsIndependent Dealer,2024-02-23,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-auto-1-4tfsi/36364379
Audi A3,1.4 Petrol,74100.0,"€16,900",124 day,no,Mount Merrion CarsIndependent Dealer,2024-02-08,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-auto-1-4tsi/36244008
Audi A3,1.4 Petrol,46278.0,"€24,900",151 day,no,Mount Merrion CarsIndependent Dealer,2024-01-12,https://www.donedeal.ie/cars-for-sale/audi-a3-facelift-auto-sport-spec/36033538
Audi A3,1.4 Tfsi,65133.0,"€17,950",161 day,no,Max Miller AutosIndependent Dealer,2024-01-02,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-tronic-sport-reversing-camera/35747183
Audi A3,1.4 Automatic,49358.46,"€18,950",4 day,no,Kylemore CarsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-low-mileage-1-4-automatic-reverse-camer/37003719?campaign=3
Audi A3,1.4 Petrol,64303.0,"€16,995",1 day,no,Elite AutosIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-tfsi-stronic-2015-big-spec/37074017?campaign=3
Audi A3,1.4 Petrol,49889.54,"€17,899",2 day,no,One Stop Motors ChurchtownIndependent Dealer,2024-06-09,https://www.donedeal.ie/cars-for-sale/reserved/37140633?campaign=3
